Background,Item,Description,Source
Shipwright,Flaw,"Though I am an excellent crafter, my work tends to look as though it belongs on a ship.",Ghosts of Saltmarsh
Shipwright,Flaw,I am so obsessed with sketching my ideas for elaborate inventions that I sometimes forget little thing like eating and sleeping.,Ghosts of Saltmarsh
Shipwright,Flaw,I'm judgmental of those who are not skilled with tools of some kind.,Ghosts of Saltmarsh
Shipwright,Flaw,"I sometimes take things that don't belong to me, especially if they are very well made.",Ghosts of Saltmarsh
Smuggler,Claim to Fame,"Spirit of the Whale. You smuggled stolen dwarven spirits in the body of a dead whale being pulled behind a fishing boat. When you delivered the goods, the corpse suddenly exploded, sending whale meat and whiskey bottles for half a mile.",Ghosts of Saltmarsh
Smuggler,Claim to Fame,Cart and Sword. You drove a cart filled with stolen art through the middle of a battlefield while singing sea shanties to confuse the combatants.,Ghosts of Saltmarsh
Smuggler,Claim to Fame,The Recruit. You enlisted in another nation's navy for the purpose of smuggling stolen jewels to a distant port. You attained a minor rank before disappearing from the navy and making your way here.,Ghosts of Saltmarsh
Smuggler,Claim to Fame,"River of Shadows. Your riverboat accidentally slipped through the veil into the Shadowfell for several hours. While you were there, you sold some stolen dragonborn artifacts before returning to this plane and paddling home.",Ghosts of Saltmarsh
Smuggler,Claim to Fame,"Gold-Hearted. You agreed to transport a family escaping a war. The baby began to cry at a checkpoint, and you gave the guards all your gold to let you pass. The family never found out about this gesture.",Ghosts of Saltmarsh
Smuggler,Claim to Fame,"Playing Both Sides. You once smuggled crates of crossbow bolts and bundles of arrows, each destined for an opposing side in a regional war, at the same time. The buyers arrived within moments of each other but did not discover your trickery.",Ghosts of Saltmarsh
Smuggler,Trait,I love being on the water but hate fishing.,Ghosts of Saltmarsh
Smuggler,Trait,I think of everything in terms of monetary value.,Ghosts of Saltmarsh
Smuggler,Trait,I never stop smiling.,Ghosts of Saltmarsh
Smuggler,Trait,Nothing rattles me; I have a lie for every occasion.,Ghosts of Saltmarsh
Smuggler,Trait,I love gold but won't cheat a friend.,Ghosts of Saltmarsh
Smuggler,Trait,I enjoy doing things others believe to be impossible.,Ghosts of Saltmarsh
Smuggler,Trait,I become wistful when I see the sun rise over the ocean.,Ghosts of Saltmarsh
Smuggler,Trait,I am no common criminal; I am a mastermind.,Ghosts of Saltmarsh
Smuggler,Ideal,Wealth Heaps of coins in a secure vault is all I dream of. (Any),Ghosts of Saltmarsh
Smuggler,Ideal,"Smuggler's Code I uphold the unwritten rules of the smugglers, who do not cheat one another or directly harm innocents. (Lawful)",Ghosts of Saltmarsh
Smuggler,Ideal,All for a Coin I'll do nearly anything if it means I turn a profit. (Evil),Ghosts of Saltmarsh
Smuggler,Ideal,Peace and Prosperity I smuggle only to achieve a greater goal that benefits my community. (Good),Ghosts of Saltmarsh
Smuggler,Ideal,"People For all my many lies, I place a high value on friendship. (Any)",Ghosts of Saltmarsh
Smuggler,Ideal,Daring I am most happy when risking everything. (Any),Ghosts of Saltmarsh
Smuggler,Bond,"My vessel was stolen from me, and I burn with the desire to recover it.",Ghosts of Saltmarsh
Smuggler,Bond,I intend to become the leader of the network of smugglers that I belong to.,Ghosts of Saltmarsh
Smuggler,Bond,I owe a debt that cannot be repaid in gold.,Ghosts of Saltmarsh
Smuggler,Bond,"After one last job, I will retire from the business.",Ghosts of Saltmarsh
Smuggler,Bond,I was tricked by a fellow smuggler who stole something precious from me. I will find that thief.,Ghosts of Saltmarsh
Smuggler,Bond,"I give most of my profits to a charitable cause, and I don't like to brag about it.",Ghosts of Saltmarsh
Smuggler,Flaw,"Lying is reflexive, and I sometimes engage in it without realizing.",Ghosts of Saltmarsh
Smuggler,Flaw,I tend to assess my relationships in terms of profit and loss.,Ghosts of Saltmarsh
Smuggler,Flaw,I believe everyone has a price and am cynical toward those who present themselves as virtuous.,Ghosts of Saltmarsh
Smuggler,Flaw,I struggle to trust the words of others.,Ghosts of Saltmarsh
Smuggler,Flaw,Few people know the real me.,Ghosts of Saltmarsh
Smuggler,Flaw,"Though I act charming, I feel nothing for others and don't know what friendship is.",Ghosts of Saltmarsh
Urban Bounty Hunter,Specialty,Blackmailer,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Specialty,Burglar,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Specialty,Enforcer,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Specialty,Fence,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Specialty,Highway robber,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Specialty,Hired killer,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Specialty,Pickpocket,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Specialty,Smuggler,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,I always have a plan for when things go wrong.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,"I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.",Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,The first thing I do in a new place is note the locations of everything valuable-or where such things could be hidden.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,I would rather make a new friend than a new enemy.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,I am incredibly slow to trust. Those who seem the fairest often have the most to hide.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,I don't pay attention to the risks in a situation. Never tell me the odds.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,The best way to get me to do something is to tell me I can't do it.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Trait,I blow up at the slightest insult.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Ideal,Honor. I don't steal from others in the trade. (Lawful),Sword Coast Adventurer's Guide
Urban Bounty Hunter,Ideal,"Freedom. Chains are meant to be broken, as are those who would forge them. (Chaotic)",Sword Coast Adventurer's Guide
Urban Bounty Hunter,Ideal,Charity. I steal from the wealthy so that I can help people in need. (Good),Sword Coast Adventurer's Guide
Urban Bounty Hunter,Ideal,Greed. I will do whatever it takes to become wealthy. (Evil),Sword Coast Adventurer's Guide
Urban Bounty Hunter,Ideal,"People. I'm loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care. (Neutral)",Sword Coast Adventurer's Guide
Urban Bounty Hunter,Ideal,Redemption. There's a spark of good in everyone. (Good),Sword Coast Adventurer's Guide
Urban Bounty Hunter,Bond,I'm trying to pay off an old debt I owe to a generous benefactor.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Bond,My ill-gotten gains go to support my family.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Bond,"Something important was taken from me, and I aim to steal it back.",Sword Coast Adventurer's Guide
Urban Bounty Hunter,Bond,I will become the greatest thief that ever lived.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Bond,I'm guilty of a terrible crime. I hope I can redeem myself for it.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Bond,Someone I loved died because of a mistake I made. That will never happen again.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Flaw,"When I see something valuable, I can't think about anything but how to steal it.",Sword Coast Adventurer's Guide
Urban Bounty Hunter,Flaw,"When faced with a choice between money and my friends, I usually choose the money.",Sword Coast Adventurer's Guide
Urban Bounty Hunter,Flaw,"If there's a plan, I'll forget it. If I don't forget it, I'll ignore it.",Sword Coast Adventurer's Guide
Urban Bounty Hunter,Flaw,I have a 'tell' that reveals when I'm lying.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Flaw,I turn tail and run when things look bad.,Sword Coast Adventurer's Guide
Urban Bounty Hunter,Flaw,An innocent person is in prison for a crime that I committed. I'm okay with that.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Forester,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Trapper,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Homesteader,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Guide,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Exile or outcast,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Bounty hunter,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Pilgrim,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Tribal nomad,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Hunter-gatherer,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Origin,Tribal marauder,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,I'm driven by a wanderlust that led me away from home.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,I watch over my friends as if they were a litter of newborn pups.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,I once ran twenty-five miles without stopping to warn to my clan of an approaching orc horde. I'd do it again if I had to.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,"I have a lesson for every situation, drawn from observing nature.",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,I place no stock in wealthy or well-mannered folk. Money and manners won't save you from a hungry owlbear.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,"I'm always picking things up, absently fiddling with them, and sometimes accidentally breaking them.",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,I feel far more comfortable around animals than people.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Trait,"I was, in fact, raised by wolves.",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Ideal,"Change. Life is like the seasons, in constant change, and we must change with it. (Chaotic)",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Ideal,Greater Good. It is each person's responsibility to make the most happiness for the whole tribe. (Good),Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Ideal,"Honor. If I dishonor myself, I dishonor my whole clan. (Lawful)",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Ideal,Might. The strongest are meant to rule. (Evil),Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Ideal,Nature. The natural world is more important than all the constructs of civilization. (Neutral),Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Ideal,"Glory. I must earn glory in battle, for myself and my clan. (Any)",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Bond,"My family, clan, or tribe is the most important thing in my life, even when they are far from me.",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Bond,An injury to the unspoiled wilderness of my home is an injury to me.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Bond,I will bring terrible wrath down on the evildoers who destroyed my homeland.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Bond,"I am the last of my tribe, and it is up to me to ensure their names enter legend.",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Bond,I suffer awful visions of a coming disaster and will do anything to prevent it.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Bond,It is my duty to provide children to sustain my tribe.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Flaw,"I am too enamored of ale, wine, and other intoxicants.",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Flaw,There's no room for caution in a life lived to the fullest.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Flaw,I remember every insult I've received and nurse a silent resentment toward anyone who's ever wronged me.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Flaw,"I am slow to trust members of other races, tribes, and societies.",Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Flaw,Violence is my answer to almost any challenge.,Sword Coast Adventurer's Guide
Uthgardt Tribe Member,Flaw,Don't expect me to save those who can't save themselves. It is nature's way that the strong thrive and the weak perish.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,My eloquent flattery makes everyone I talk to feel like the most wonderful and important person in the world.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,The common folk love me for my kindness and generosity.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,No one could doubt by looking at my regal bearing that I am a cut above the unwashed masses.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,I take great pains to always look my best and follow the latest fashions.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,"I don't like to get my hands dirty, and I won't be caught dead in unsuitable accommodations.",Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,"Despite my noble birth, I do not place myself above other folk. We all have the same blood.",Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,"My favor, once lost, is lost forever.",Sword Coast Adventurer's Guide
Waterdhavian Noble,Trait,"If you do me an injury, I will crush you, ruin your name, and salt your fields.",Sword Coast Adventurer's Guide
Waterdhavian Noble,Ideal,"Respect. Respect is due to me because of my position, but all people regardless of station deserve to be treated with dignity. (Good)",Sword Coast Adventurer's Guide
Waterdhavian Noble,Ideal,"Responsibility. It is my duty to respect the authority of those above me, just as those below me must respect mine. (Lawful)",Sword Coast Adventurer's Guide
Waterdhavian Noble,Ideal,Independence. I must prove that I can handle myself without coddling from my family. (Chaotic),Sword Coast Adventurer's Guide
Waterdhavian Noble,Ideal,"Power. If I can attain more power, no one will tell me what to do. (Evil)",Sword Coast Adventurer's Guide
Waterdhavian Noble,Ideal,Family. Blood runs thicker than water. (Any),Sword Coast Adventurer's Guide
Waterdhavian Noble,Ideal,Noble Obligation. It is my duty to protect and care for the people beneath me. (Good),Sword Coast Adventurer's Guide
Waterdhavian Noble,Bond,I will face any challenge to win the approval of my family.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Bond,My house's alliance with another noble family must be sustained at all costs.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Bond,Nothing is more important than the other members of my family.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Bond,I am in love with the heir of a family that my family despises.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Bond,My loyalty to my sovereign is unwavering.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Bond,The common folk must see me as a hero of the people.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Flaw,I secretly believe that everyone is beneath me.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Flaw,I hide a truly scandalous secret that could ruin my family forever.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Flaw,"I too often hear veiled insults and threats in every word addressed to me, and I'm quick to anger.",Sword Coast Adventurer's Guide
Waterdhavian Noble,Flaw,I have an insatiable desire for carnal pleasures.,Sword Coast Adventurer's Guide
Waterdhavian Noble,Flaw,"In fact, the world does revolve around me.",Sword Coast Adventurer's Guide
Waterdhavian Noble,Flaw,"By my words and actions, I often bring shame to my family.",Sword Coast Adventurer's Guide
Black Fist Double Agent,Trait,People are only as trustworthy as you are valuable to them. Always strive to be the most valuable person around.,Curse of Strahd
Black Fist Double Agent,Trait,My eloquence and sophistication are tools I use to avoid arousing suspicion myself.,Curse of Strahd
Black Fist Double Agent,Trait,"I am a thrill-seeker, excited by covert and dangerous missions.",Curse of Strahd
Black Fist Double Agent,Trait,"I live by my wits and always check every lock twice, just to be certain.",Curse of Strahd
Black Fist Double Agent,Trait,I never admit to my mistakes lest they be used against me.,Curse of Strahd
Black Fist Double Agent,Trait,I take every effort to be unnoticeable and blend into the crowd. Passersby rarely give me a second look.,Curse of Strahd
Black Fist Double Agent,Trait,I am prepared for any eventuality; including the day my usefulness as a spy comes to an end.,Curse of Strahd
Black Fist Double Agent,Trait,"I always make certain to know my enemy before acting, lest I bite off more than I can chew.",Curse of Strahd
Black Fist Double Agent,Ideal,"Suspicious. In my experience, everybody has something to hide, and what they hide can usually hurt me. (Any)",Curse of Strahd
Black Fist Double Agent,Ideal,"Secretive. I trade in secrets, and am not about to let any of mine slip. (Any)",Curse of Strahd
Black Fist Double Agent,Ideal,"Hedonist. Life is short. I live my life to the fullest, as I know any day could be my last. (Chaotic)",Curse of Strahd
Black Fist Double Agent,Ideal,Selfless. I use my position to help the downtrodden avoid persecution from the authorities. (Good),Curse of Strahd
Black Fist Double Agent,Ideal,"Patriotic. I am a loyal supporter of Phlan and its leaders, and see my role as a solemn duty and necessary evil to prevent anarchy. (Lawful)",Curse of Strahd
Black Fist Double Agent,Ideal,Manipulative. I use my knowledge to blackmail and manipulate others to my own benefit. (Evil),Curse of Strahd
Black Fist Double Agent,Bond,"I was framed for a crime I did not commit, and seek to bring the true culprit to justice.",Curse of Strahd
Black Fist Double Agent,Bond,I am a part of an underground network that smuggles innocent civilians out of the city prior to being raided by the authorities.,Curse of Strahd
Black Fist Double Agent,Bond,"I miss the glory days of Phlan, before the coming of the dragon.",Curse of Strahd
Black Fist Double Agent,Bond,I seek to prove myself worthy of joining the Black Fist as a member of their order.,Curse of Strahd
Black Fist Double Agent,Bond,"My sibling was killed by a Tear of Virulence, and now I feed them false information whenever possible.",Curse of Strahd
Black Fist Double Agent,Bond,"My family was wrongly imprisoned, and I act as an informant in order to secure their release.",Curse of Strahd
Black Fist Double Agent,Flaw,"I think too highly of myself, and have an exaggerated sense of self-importance.",Curse of Strahd
Black Fist Double Agent,Flaw,I have difficulty trusting strangers. I see spies and informants everywhere.,Curse of Strahd
Black Fist Double Agent,Flaw,"Years of getting away with minor crimes has left me believing that I am above the law, and have diplomatic immunity above my station.",Curse of Strahd
Black Fist Double Agent,Flaw,Years of seeing innocent people suffer have left me despondent and pessimistic for the future.,Curse of Strahd
Black Fist Double Agent,Flaw,My desire for vengeance often gets me into trouble.,Curse of Strahd
Black Fist Double Agent,Flaw,"I am a spendthrift, and share my wealth with the patrons of my favorite tavern.",Curse of Strahd
Dragon Casualty,Disfigurement,"Small non-functional wing(s) or alternately-misshapen, wing-like membranes along one or both arms",Curse of Strahd
Dragon Casualty,Disfigurement,"Elongated, claw-like hand(s) and/or feet",Curse of Strahd
Dragon Casualty,Disfigurement,Painful green scales randomly embedded in skin,Curse of Strahd
Dragon Casualty,Disfigurement,"Bulbous, reptilian eye(s)",Curse of Strahd
Dragon Casualty,Disfigurement,Enlarged dorsal spines,Curse of Strahd
Dragon Casualty,Disfigurement,Hair replaced with small irregular spines,Curse of Strahd
Dragon Casualty,Trait,"I am driven to escape my past, and rarely stay in one place long.",Curse of Strahd
Dragon Casualty,Trait,"I know secrets of the Maimed Virulence, but fear the harm that may befall me should others learn them.",Curse of Strahd
Dragon Casualty,Trait,Speaking of my ordeal helps soothe the still open wounds in my soul.,Curse of Strahd
Dragon Casualty,Trait,"My former life is meaningless, and was ripped to shreds by the claws of Vorgansharax. All that matters now is what I do with the future.",Curse of Strahd
Dragon Casualty,Trait,"I have faced the worst a dragon can deliver and survived. I am fearless, and my resolve unshakable.",Curse of Strahd
Dragon Casualty,Trait,"I am haunted by my tortured past, and wake at night screaming at half-remembered horrors.",Curse of Strahd
Dragon Casualty,Trait,"I sleep with my back to a wall or tree, and a weapon within arm’s reach.",Curse of Strahd
Dragon Casualty,Trait,"I am slow to trust, but incredibly loyal to those who have earned it.",Curse of Strahd
Dragon Casualty,Ideal,"Survivor. No matter the cost, I will take any action necessary to survive. (Any)",Curse of Strahd
Dragon Casualty,Ideal,"Independence. When in trouble, the only person I can rely on is myself. (Chaotic)",Curse of Strahd
Dragon Casualty,Ideal,"Compassionate. I have suffered long at the hands of a Dragon, and take pity and compassion on the suffering of others. (Good)",Curse of Strahd
Dragon Casualty,Ideal,"Secretive. I am withdrawn, and hide my monstrous appearance for fear of drawing unwanted attention. (Chaotic)",Curse of Strahd
Dragon Casualty,Ideal,"Justice. I have been wronged, and will not allow the same fate to befall others. (Lawful)",Curse of Strahd
Dragon Casualty,Ideal,"Sycophant. During my ordeal, I became a willing servant of the Maimed Virulence, and spy on his behalf. (Evil)",Curse of Strahd
Dragon Casualty,Bond,I have sworn vengeance on the Maimed Virulence and those that follow him.,Curse of Strahd
Dragon Casualty,Bond,"I long to reunite with friends and family who may dwell among the Phlan Refugees, and protect them.",Curse of Strahd
Dragon Casualty,Bond,"While a prisoner of the Maimed Virulence, I overheard rumors of an item or treasure the Dragon seeks. I will have that treasure for myself!",Curse of Strahd
Dragon Casualty,Bond,I seek to reclaim and rebuild my former life to the best of my ability.,Curse of Strahd
Dragon Casualty,Bond,I have been reborn as a child of Vorgansharax. I will claim my birthright as his chosen heir and successor.,Curse of Strahd
Dragon Casualty,Bond,"I attribute my survival to the work of the divine, and seek to prove myself worthy of the honor.",Curse of Strahd
Dragon Casualty,Flaw,"I have been touched with dragon-greed, and have a lust for wealth which can never be satisfied.",Curse of Strahd
Dragon Casualty,Flaw,I secretly believe others are plotting to harm me.,Curse of Strahd
Dragon Casualty,Flaw,I no longer enjoy the simple pleasures in life. Food is but ashes and bile in my throat.,Curse of Strahd
Dragon Casualty,Flaw,Anyone who refuses to celebrate my celebrity does not deserve my company.,Curse of Strahd
Dragon Casualty,Flaw,I am paranoid and overly suspicious of others. Anyone may be an agent of the Maimed Virulence.,Curse of Strahd
Dragon Casualty,Flaw,"Once I make up my mind, I follow my chosen course of action regardless of the consequences.",Curse of Strahd
Iron Route Bandit,Trait,"If people leave their gear unsecured, they must not want it very much.",Curse of Strahd
Iron Route Bandit,Trait,I feel more comfortable sleeping under the open sky.,Curse of Strahd
Iron Route Bandit,Trait,I always pre-plan my escape should things go bad; I always like to have an exit strategy.,Curse of Strahd
Iron Route Bandit,Trait,I tend to give animal owners breeding and care advice whether or not they want it.,Curse of Strahd
Iron Route Bandit,Trait,I lost a pet as a child and sadly reflect on it to this day.,Curse of Strahd
Iron Route Bandit,Trait,"I always form a powerful, emotional bond with my mount.",Curse of Strahd
Iron Route Bandit,Trait,I recoil at the thought of killing someone else’s pet or mount.,Curse of Strahd
Iron Route Bandit,Trait,I prefer to hang to the back of a scuffle or discussion. Better to have my enemies in front of me.,Curse of Strahd
Iron Route Bandit,Ideal,Loyalty. Never bite the hand that feeds. (Good),Curse of Strahd
Iron Route Bandit,Ideal,Unpredictability. Keep your enemy guessing and off-balance like a confused deer. (Chaotic),Curse of Strahd
Iron Route Bandit,Ideal,Power. I strive to become leader of the pack at all costs. (Lawful),Curse of Strahd
Iron Route Bandit,Ideal,Freedom. I bow to no one I don’t respect. (Chaotic),Curse of Strahd
Iron Route Bandit,Ideal,Resourcefulness. Our wits are our most valuable resource in troubled times. (Any),Curse of Strahd
Iron Route Bandit,Ideal,Unity. Lone wolves fail where the pack succeeds. (Any),Curse of Strahd
Iron Route Bandit,Bond,I cannot leave a harmed animal behind; I must save it or put it out of its misery.,Curse of Strahd
Iron Route Bandit,Bond,I leave behind my own personal calling cards when I do a job.,Curse of Strahd
Iron Route Bandit,Bond,"I do not trust people who do not have a pet, mount, or furry companion.",Curse of Strahd
Iron Route Bandit,Bond,The pelt I wear on my back was from an animal that died saving my life. I will always cherish it.,Curse of Strahd
Iron Route Bandit,Bond,"If my pet does not like you, I do not like you!",Curse of Strahd
Iron Route Bandit,Bond,"Once you’ve ridden with me and fought by my side, I’ll be there for you odds be damned.",Curse of Strahd
Iron Route Bandit,Flaw,"I talk to animals; I believe they understand me, even if they do not.",Curse of Strahd
Iron Route Bandit,Flaw,I growl at and bite anyone who gets too close to my food while I am eating.,Curse of Strahd
Iron Route Bandit,Flaw,I strongly dislike enclosed spaces and require intoxication or firm encouragement to enter them.,Curse of Strahd
Iron Route Bandit,Flaw,I robbed the wrong caravan once. The owner is a powerful merchant who holds a grudge.,Curse of Strahd
Iron Route Bandit,Flaw,I’m an inveterate gambler.,Curse of Strahd
Iron Route Bandit,Flaw,I judge people based on how well they stand their ground in a fight. I got no time for cowards…,Curse of Strahd
Phlan Insurgent,Origin,Fisher,Curse of Strahd
Phlan Insurgent,Origin,Hunter,Curse of Strahd
Phlan Insurgent,Origin,Craftsperson,Curse of Strahd
Phlan Insurgent,Origin,Priest/Priestess,Curse of Strahd
Phlan Insurgent,Origin,Cook,Curse of Strahd
Phlan Insurgent,Origin,City Watch,Curse of Strahd
Phlan Insurgent,Origin,Servant,Curse of Strahd
Phlan Insurgent,Origin,Unskilled Laborer,Curse of Strahd
Phlan Insurgent,Trait,"My patience knows no bounds, so long as my goal is in sight.",Curse of Strahd
Phlan Insurgent,Trait,"In life and in struggle, the ends justify my actions.",Curse of Strahd
Phlan Insurgent,Trait,"If you aren’t helping me, you’d best at least stay out of my way.",Curse of Strahd
Phlan Insurgent,Trait,I long for the life that was taken away from me.,Curse of Strahd
Phlan Insurgent,Trait,"Friends and family perished, tragically, before my eyes. I hope never to undergo that again.",Curse of Strahd
Phlan Insurgent,Trait,"Making the right choices in life is important to me. The choices I make might save not just my life, but the lives of others as well.",Curse of Strahd
Phlan Insurgent,Trait,I can never allow my foes to get the drop on me.,Curse of Strahd
Phlan Insurgent,Trait,Time is a precious resource that I must spend wisely.,Curse of Strahd
Phlan Insurgent,Ideal,Leadership. The oppressed need someone to inspire them to courageous acts. (Good),Curse of Strahd
Phlan Insurgent,Ideal,Unpredictability. Keeping the enemy guessing and off-balance is my tactical strength. (Chaos),Curse of Strahd
Phlan Insurgent,Ideal,Determination. Threats to my home must be eliminated at all costs. (Any),Curse of Strahd
Phlan Insurgent,Ideal,Freedom. Those who are enslaved and unjustly imprisoned deserve my aid. (Good),Curse of Strahd
Phlan Insurgent,Ideal,Resourcefulness. Our wits are our most valuable resource in troubled times. (Any),Curse of Strahd
Phlan Insurgent,Ideal,"Unity. Working together, we can overcome all obstacles, even the most seemingly insurmountable ones. (Any)",Curse of Strahd
Phlan Insurgent,Bond,I’ll never let my fellow insurgents down. They are my only remaining friends.,Curse of Strahd
Phlan Insurgent,Bond,I was separated from a loved one during my escape from town. I will find them.,Curse of Strahd
Phlan Insurgent,Bond,"One of the Tears of the Virulence was a trusted friend, until the day they betrayed the city. They will pay harshly for their transgressions.",Curse of Strahd
Phlan Insurgent,Bond,An item I hold close is my last remaining connection to the family I lost during the fall.,Curse of Strahd
Phlan Insurgent,Bond,The dragon who took my past life away from me will feel the full extent of my vengeance.,Curse of Strahd
Phlan Insurgent,Bond,The knowledge in Mantor’s Library is an irreplaceable treasure that must be protected.,Curse of Strahd
Phlan Insurgent,Flaw,I have no respect for those who flee. I harbor a deep grudge against the citizens who abandoned Phlan.,Curse of Strahd
Phlan Insurgent,Flaw,Ale is the only way I can escape the desperation of my circumstances.,Curse of Strahd
Phlan Insurgent,Flaw,It doesn’t take much to get me into a fight.,Curse of Strahd
Phlan Insurgent,Flaw,Being an insurgent means doing things that aren’t always ethical. I’m still learning to live with that.,Curse of Strahd
Phlan Insurgent,Flaw,"My desire to liberate Phlan oftentimes clouds my judgment, despite my best efforts.",Curse of Strahd
Phlan Insurgent,Flaw,I relentlessly despise the Maimed Virulence and his allies. I’d abandon other goals in order to strike out at them.,Curse of Strahd
Stojanow Prisoner,Trait,I am a bully; others will suffer as I have.,Curse of Strahd
Stojanow Prisoner,Trait,I always say yes even when I mean no; it’s just easier.,Curse of Strahd
Stojanow Prisoner,Trait,I aim to misbehave.,Curse of Strahd
Stojanow Prisoner,Trait,I go out of my way to frustrate or anger those in power.,Curse of Strahd
Stojanow Prisoner,Trait,I strive to obey the law. I will never again make the mistake of going against authority.,Curse of Strahd
Stojanow Prisoner,Trait,I always plan everything out. The one time I let others plan things it did not end well for me.,Curse of Strahd
Stojanow Prisoner,Trait,I take blame to protect others from pain.,Curse of Strahd
Stojanow Prisoner,Trait,"I horde information, you never know what may come in handy.",Curse of Strahd
Stojanow Prisoner,Ideal,"Loss. I freely give those who offend me what was so brutally denied me, death. (Chaos)",Curse of Strahd
Stojanow Prisoner,Ideal,Dedication. I never betray those who trust me. (Law),Curse of Strahd
Stojanow Prisoner,Ideal,Vengeance. I use any means to get information I need; I have been well taught. (Evil),Curse of Strahd
Stojanow Prisoner,Ideal,Redemption. Everyone deserves a second chance. (Good),Curse of Strahd
Stojanow Prisoner,Ideal,Resilience. I can survive any challenge. (Any),Curse of Strahd
Stojanow Prisoner,Ideal,Leadership. The best teams are made up of those that society has discarded.,Curse of Strahd
Stojanow Prisoner,Bond,I take up arms to help establish a free Phlan.,Curse of Strahd
